window_id,n_skus_in_demand,n_skus_in_graph,makespan_h,total_h,spread_h,dropped,feasible,iterations,elapsed_s,graph_build_s,verify_ok,n_L14,prod_L14_h,chg_L14_h,load_L14_h,n_L17,prod_L17_h,chg_L17_h,load_L17_h,n_L19,prod_L19_h,chg_L19_h,load_L19_h,baseline_pred_h,baseline_actual_h,improvement_vs_pred_h,improvement_vs_pred_pct,improvement_vs_actual_h,improvement_vs_actual_pct
2025-W22-7d,24,24,42.4209,127.1077,0.0835,0,True,7,4.0071,0.161,True,6,35.9209,6.5,42.4209,9,35.3494,7.0,42.3494,9,35.3374,7.0,42.3374,79.8071,78.5828,37.3862,46.85,36.1619,46.02
2025-W23-7d,37,37,96.1319,285.9074,1.5795,0,True,1,4.3064,0.2392,True,12,79.4652,16.6667,96.1319,11,85.5565,9.6667,95.2232,14,73.0524,21.5,94.5524,116.1304,108.8783,19.9985,17.22,12.7464,11.71
2025-W24-7d,40,40,110.8305,324.7862,6.1391,0,True,1,4.3363,0.3014,True,14,91.4972,19.3333,110.8305,13,98.2643,11.0,109.2643,13,83.3581,21.3333,104.6914,139.0759,137.9936,28.2454,20.31,27.1631,19.68
2025-W25-7d,42,42,110.642,329.1761,2.531,0,True,1,4.0452,0.3426,True,10,93.611,14.5,108.111,16,96.142,14.5,110.642,16,91.923,18.5,110.423,127.4326,127.7883,16.7906,13.18,17.1463,13.42
2025-W26-7d,37,37,88.7936,259.1673,5.744,0,True,1,4.1616,0.2681,True,10,70.824,16.5,87.324,12,78.2936,10.5,88.7936,15,64.7997,18.25,83.0497,112.0145,111.9528,23.2208,20.73,23.1592,20.69
2025-W27-7d,30,30,86.7773,250.8722,6.8486,0,True,1,4.4945,0.1711,True,6,72.9288,7.0,79.9288,11,78.6107,8.1667,86.7773,13,67.1661,17.0,84.1661,98.8268,101.3797,12.0495,12.19,14.6024,14.4
2025-W28-7d,42,42,117.7707,342.8208,7.0175,0,True,1,4.011,0.3394,True,14,90.5865,20.1667,110.7532,13,103.6303,10.6667,114.2969,15,99.1873,18.5833,117.7707,187.573,189.3525,69.8023,37.21,71.5818,37.8
2025-W29-7d,34,34,90.0726,267.8781,1.6148,0,True,1,4.1445,0.2432,True,9,80.906,9.1667,90.0726,13,77.2912,11.1667,88.4579,12,73.8476,15.5,89.3476,105.1388,106.7486,15.0662,14.33,16.676,15.62
2025-W30-7d,45,45,98.994,291.6764,4.2966,0,True,1,14.1171,0.3638,True,13,79.8273,19.1667,98.994,17,84.8183,13.1667,97.985,15,75.7807,18.9167,94.6974,144.7306,144.9169,45.7366,31.6,45.9229,31.69
2025-W31-7d,37,37,87.2469,257.3151,3.9686,0,True,1,4.4089,0.2602,True,9,73.9449,9.3333,83.2783,14,77.6233,9.1667,86.7899,14,70.2469,17.0,87.2469,112.0941,115.0064,24.8472,22.17,27.7595,24.14
2025-W32-7d,39,39,107.8842,317.0053,5.1812,0,True,1,4.1347,0.2884,True,13,81.0363,21.6667,102.703,12,95.9181,10.5,106.4181,14,90.8009,17.0833,107.8842,144.7311,146.9842,36.8469,25.46,39.1,26.6
2025-W33-7d,38,38,97.5843,288.596,3.1923,0,True,1,13.0727,0.261,True,9,82.392,12.0,94.392,14,86.7509,10.8333,97.5843,15,77.9531,18.6667,96.6197,146.0254,150.1319,48.4412,33.17,52.5477,35.0
2025-W34-7d,35,35,100.4316,289.6254,10.689,0,True,1,4.5154,0.253,True,14,79.9316,20.5,100.4316,2,98.4511,1.0,99.4511,19,70.0759,19.6667,89.7426,127.9445,132.0719,27.5129,21.5,31.6403,23.96
2025-W35-7d,35,35,123.6614,369.3582,1.5941,0,True,1,4.3881,0.2563,True,9,110.0673,12.0,122.0673,13,112.9627,10.6667,123.6294,13,106.9948,16.6667,123.6614,170.2244,172.7131,46.563,27.35,49.0516,28.4
2025-W36-7d,31,31,104.7564,310.4547,3.6441,0,True,3,4.0208,0.2005,True,11,85.1122,16.0,101.1122,10,96.9195,7.6667,104.5861,10,90.7564,14.0,104.7564,125.6013,129.8217,20.845,16.6,25.0653,19.31
2025-W37-7d,31,31,97.2474,288.839,1.6418,0,True,1,4.0352,0.2062,True,8,84.2474,13.0,97.2474,10,87.1055,8.5,95.6055,13,80.4861,15.5,95.9861,108.6718,111.4419,11.4245,10.51,14.1946,12.74
2025-W38-7d,35,35,116.4054,346.4486,1.8224,0,True,1,4.1356,0.2378,True,12,94.4603,21.0,115.4603,11,105.083,9.5,114.583,12,100.9054,15.5,116.4054,158.2149,163.8622,41.8095,26.43,47.4569,28.96
2025-W39-7d,27,27,117.4324,349.9616,1.6094,0,True,2,4.0401,0.1482,True,7,106.823,9.0,115.823,9,109.7658,7.6667,117.4324,11,102.2062,14.5,116.7062,142.9251,141.0922,25.4927,17.84,23.6598,16.77
2025-W40-7d,29,29,94.7838,264.5462,16.3099,0,True,1,4.0693,0.1819,True,11,61.9739,16.5,78.4739,5,87.2886,4.0,91.2886,13,77.8671,16.9167,94.7838,146.0579,145.6708,51.2741,35.11,50.887,34.93
2025-W41-7d,35,35,99.5179,296.451,1.9201,0,True,1,4.7097,0.2224,True,9,86.0979,11.5,97.5979,13,87.8513,11.6667,99.5179,13,83.3352,16.0,99.3352,111.4061,117.4783,11.8882,10.67,17.9604,15.29
2025-W42-7d,33,33,110.3497,327.2792,2.0275,0,True,1,4.1092,0.2197,True,11,90.8222,17.5,108.3222,11,99.4406,9.1667,108.6073,11,96.3497,14.0,110.3497,196.7215,195.7864,86.3718,43.91,85.4367,43.64
2025-W43-7d,26,26,73.228,213.7008,4.348,0,True,4,4.0567,0.17,True,7,62.2133,6.6667,68.88,10,65.728,7.5,73.228,9,59.5928,12.0,71.5928,182.2868,193.3342,109.0588,59.83,120.1062,62.12
2025-W44-7d,22,22,33.8786,101.1521,0.2599,0,True,7,1.6918,0.1371,True,8,22.6547,11.0,33.6547,6,28.8786,5.0,33.8786,8,21.9521,11.6667,33.6188,73.5254,73.1731,39.6468,53.92,39.2944,53.7
2025-W45-7d,31,31,82.4196,243.4575,2.3532,0,True,1,4.0817,0.2298,True,8,73.6382,7.3333,80.9715,12,70.0664,10.0,80.0664,11,67.4196,15.0,82.4196,128.4473,128.9556,46.0277,35.83,46.536,36.09
2025-W46-7d,38,38,78.8165,235.5022,0.495,0,True,1,4.1465,0.4148,True,14,58.6976,19.6667,78.3642,13,67.8165,11.0,78.8165,11,63.8215,14.5,78.3215,89.5486,89.0008,10.7321,11.98,10.1844,11.44
2025-W47-7d,32,32,75.9485,225.2038,2.5666,0,True,1,4.3685,0.2761,True,8,65.882,7.5,73.382,13,64.7067,11.1667,75.8733,11,61.4485,14.5,75.9485,83.939,88.5703,7.9905,9.52,12.6217,14.25
2025-W48-7d,32,32,76.7576,221.2314,7.6148,0,True,2,4.3781,0.2453,True,11,54.4762,14.6667,69.1429,11,67.091,9.6667,76.7576,10,61.3309,14.0,75.3309,82.5146,79.6864,5.757,6.98,2.9288,3.68
2025-W49-7d,29,29,80.589,237.9923,3.0635,0,True,1,4.0927,0.2698,True,7,69.5256,8.0,77.5256,11,71.8777,8.0,79.8777,11,66.4224,14.1667,80.589,84.2781,87.8778,3.6891,4.38,7.2888,8.29
2025-W50-7d,19,19,56.513,165.1017,2.4405,0,True,3,0.3695,0.1215,True,8,44.4059,9.6667,54.0725,7,48.5161,6.0,54.5161,4,48.513,8.0,56.513,67.399,68.0256,10.8859,16.15,11.5125,16.92
2025-W51-7d,35,35,70.246,207.4272,2.1145,0,True,1,4.1191,0.3584,True,9,55.8831,13.1667,69.0497,14,58.246,12.0,70.246,12,53.6315,14.5,68.1315,82.4785,84.8022,12.2326,14.83,14.5563,17.16
2025-W52-7d,15,15,25.536,76.1943,0.3625,0,True,13,0.1326,0.0931,True,6,18.6735,6.5,25.1735,4,22.536,3.0,25.536,5,21.4848,4.0,25.4848,28.1474,27.18,2.6114,9.28,1.644,6.05
2026-W01-7d,8,8,13.0627,38.8198,0.2888,0,True,2,0.0029,0.0761,True,4,8.0627,5.0,13.0627,1,12.7739,0.0,12.7739,3,5.9832,7.0,12.9832,24.834,26.1869,11.7713,47.4,13.1242,50.12
